code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SCT,1,1,Hazard communication competencies promote safety through effective hazard communication.,1.01,Safety signage,Describes safety signage and documentation as well as how signage is used to convey information,Adheres to information and directives in safety signage and documents,Evaluates safety signage and document placement and usage,Ensures staff compliance with safety signage and documents,N/A
SCT,1,1,Hazard communication competencies promote safety through effective hazard communication.,1.02,Safety communication tools,Describes a variety of communication tools and techniques promoting the work practices employed in own area of responsibility,Employs a variety of communication tools and techniques promoting the work practices employed in own area of responsibility,Implements a variety of communication tools and techniques for the promotion of safe work practices,Ensures a variety of communication tools and techniques promoting work practices are employed in their area of responsibility,N/A
SCT,1,1,Hazard communication competencies promote safety through effective hazard communication.,1.03,Labeling,Describes labeling of samples and containers,Adheres to procedures for labeling of samples and containers,Implements procedures to ensure staff compliance with regulatory requirements for labeling of samples and containers,Ensures staff compliance with regulatory requirements for labeling of samples and containers,N/A
SCT,1,1,Hazard communication competencies promote safety through effective hazard communication.,1.04,Signals and alarms,Recognizes signals and alarms in areas assigned,Explains signals and alarms in the laboratory facility,Assesses staff knowledge of signals and alarms,Ensures the implementation of all signals and alarms,N/A
SCT,1,2,Safety training competencies ensure that safety training needs are identified and training solutions are implemented to meet performance and productivity goals.,2.01,Safety training,Complies with requirements to obtain safety training,Explains the work practices and techniques required for staff to safely perform their job duties,Assesses safety training needs and the impact of safety training,Ensures development and implementation of safety training for all staff,N/A
SCT,1,2,Safety training competencies ensure that safety training needs are identified and training solutions are implemented to meet performance and productivity goals.,2.02,Training documentation,Describes requirements for documenting safety training,Adheres to procedures for recording safety training of staff,Implements procedures for documenting staff safety training,Develops policies  processes and procedures for documentation and verification of staff training records,N/A
