code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.01,Safety document management,Describes procedures for safety document management,Adheres to procedures for safety document management,Manages safety document management process,Designs the safety document management system,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.02,Safety document access,Identifies any restricted or confidential safety documents,Ensures restricted or confidential safety documents are not disclosed,Implements processes and procedures for maintaining confidentiality of internally and externally derived safety information,Designs policies  processes and procedures for document control and access that adhere to regulatory and accreditation requirements,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.03,Occupational injuries and illnesses documentation,Describes responsibilities for documenting Occupational Safety and Health Administration (OSHA)-recordable occupational injuries and illnesses,Complies with documentation procedures for OSHA-recordable occupational injuries and illnesses,Ensures staff compliance with reporting of OSHA-recordable occupational injuries and illnesses,Designs policies  processes and procedures to ensure reporting for OSHA-recordable occupational injuries and illnesses,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.04,Medical surveillance documentation,Describes responsibilities in complying with established medical surveillance record keeping procedures,Complies with established medical surveillance documentation and record keeping procedures,Implements processes and procedures for medical surveillance documentation,Designs policies  processes and procedures for medical surveillance documentation,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.05,Exposure monitoring documentation,Describes the procedures for documenting exposure monitoring,Adheres to procedures for documenting exposure monitoring,Implements procedures for documentation and retention of exposure monitoring information as required by regulations  standards or guidelines,Designs policies  processes and procedures for documentation and retention of exposure monitoring information as required by regulations  standards or guidelines,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.06,Safety inspection documentation,Describes safety inspection documentation,Complies with procedures for safety inspection documentation,Develops procedures for safety inspection documentation,Designs policies  processes and procedures for safety inspection documentation,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.07,Hazardous waste documentation,Describes procedures for documenting the handling and transport of hazardous waste,Complies with procedures for documenting the handling and transport of hazardous waste,Develops procedures for documenting the handling and transport of hazardous waste,Ensures staff compliance with policies  processes and procedures for documenting the handling and transport of hazardous waste,N/A
SDR,1,1,Documents and record keeping competencies ensure staff compliance with agency QMS and statutory  regulatory  accreditation and licensing requirements for,1.08,Safety reports to staff members,Reads safety reports,Complies with recommendations and mandates of safety reports,Ensures staff compliance to recommendations and mandates made in safety reports,Designs policies  processes and procedures ensuring staff compliance to recommendations and mandates made in safety reports,N/A
