code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
ETH,1,1,Professional code of conduct competencies ensure adherence to policies and principles governing professional ethics and rules of conduct when working in a health,1.01,Personal integrity,Aligns personal integrity with organizational culture,Exemplifies integrity in interactions and activities,Coaches staff in behaviors that exhibit integrity,Creates a culture where integrity is the basis for all interactions and activities,N/A
ETH,1,1,Professional code of conduct competencies ensure adherence to policies and principles governing professional ethics and rules of conduct when working in a health,1.02,General ethical practices,Applies ethical principles and professional rules of conduct to the workplace,Serves as a role model of ethical behavior by consistently conforming to the highest ethical standards and practices,Ensures staff compliance with policies and procedures related to ethical principles and professional rules of conduct,Oversees the policies  processes and procedures related to ethical principles and professional rules of conduct,N/A
ETH,1,1,Professional code of conduct competencies ensure adherence to policies and principles governing professional ethics and rules of conduct when working in a health,1.03,Stewardship of resources,Acts as a good steward of institutional funds and resources,Identifies methods to improve stewardship of resources,Ensures that the use of institutional funds and resources meet the policies for stewardship,Oversees the policies  processes and procedures to ensure the environment supports excellence in the stewardship of resources,N/A
ETH,1,1,Professional code of conduct competencies ensure adherence to policies and principles governing professional ethics and rules of conduct when working in a health,1.04,Ethics and patient care,Applies ethical principles and professional rules of conduct to protect patient's rights and privacy,Identifies methods to improve the ethical treatment of patients,Ensures staff compliance with policies and procedures related to patients and their ethical care,Oversees the policies  processes and procedures related to patients and their ethical care,N/A
ETH,1,2,Scientific code of conduct competencies ensure adherence to policies and principles governing scientific ethics and rules of conduct when working in a health laboratory.,2.01,Scientific integrity,Verifies scientific integrity of test results and findings,Explain policies  processes and procedures regarding scientific integrity of test results and findings,Ensures staff compliance with policies and procedures regarding scientific integrity of all results and findings,Oversees the policies  processes and procedures to ensure practices are consistent with guidelines on scientific integrity,N/A
ETH,1,2,Scientific code of conduct competencies ensure adherence to policies and principles governing scientific ethics and rules of conduct when working in a health laboratory.,2.02,Scientific ethics,Applies scientific ethics and rules of conduct to the workplace,Serves as a role model of scientific ethical behavior and rules of conduct by consistently conforming to the highest scientific standards and practices,Ensures staff compliance with policies and procedures related to scientific ethics and rules of conduct,Oversees the policies  processes and procedures related to scientific ethics and rules of conduct,N/A
